team1_name,team2_name,map_number,champs1_names,champs2_names,win,match_day,first_blood,kills_5
ROCCAT,Origen,1,"Trundle, Gragas, Viktor, Caitlyn, Janna","Poppy, Kindred, Azir, Ashe, Karma",200,2016-06-16,200,
Origen,ROCCAT,2,"Olaf, Kindred, Ezreal, Karma, Braum","Ekko, Gragas, Zilean, Lucian, Bard",100,2016-06-16,100,
Fnatic,FC Schalke 04,1,"Shen, Nidalee, Ryze, Caitlyn, Braum","Maokai, Rek'Sai, Viktor, Ashe, Soraka",100,2016-06-16,100,
FC Schalke 04,Fnatic,2,"Trundle, Rek'Sai, Azir, Thresh, Jhin","Gnar, Gragas, Ezreal, Braum, Viktor",200,2016-06-16,200,
Team Vitality,Unicorns of Love,1,"Irelia, Gragas, Viktor, Caitlyn, Janna","Shen, Kha'Zix, Ryze, Sivir, Nami",100,2016-06-16,100,
Unicorns of Love,Team Vitality,2,"Illaoi, Rek'Sai, Ryze, Jhin, Zyra","Irelia, Gragas, Zilean, Ashe, Karma",200,2016-06-16,200,
H2k,G2 Esports,1,"Gragas, Elise, Viktor, Caitlyn, Bard","Irelia, Nidalee, Sivir, Karma, Fizz",100,2016-06-16,100,
G2 Esports,H2k,2,"Fizz, Rek'Sai, Azir, Ezreal, Karma","Rumble, Olaf, Viktor, Sivir, Braum",100,2016-06-16,100,
Splyce,Giants Gaming,1,"Olaf, Rek'Sai, Fizz, Ezreal, Thresh","Maokai, Nidalee, Azir, Lucian, Nami",100,2016-06-16,100,
Giants Gaming,Splyce,2,"Irelia, Gragas, Vladimir, Jhin, Karma","Trundle, Anivia, Rek'Sai, Ezreal, Karma",200,2016-06-16,100,
Unicorns of Love,G2 Esports,1,"Irelia, Gragas, Azir, Sivir, Nami","Ryze, Rek'Sai, Maokai, Ezreal, Soraka",200,2016-06-17,100,
G2 Esports,Unicorns of Love,2,"Irelia, Elise, Zilean, Sivir, Braum","Gragas, Rek'Sai, Ryze, Ezreal, Karma",100,2016-06-17,100,
ROCCAT,FC Schalke 04,1,"Trundle, Kindred, Azir, Braum, Lucian","Gnar, Gragas, Varus, Jhin, Karma",200,2016-06-17,100,
FC Schalke 04,ROCCAT,2,"Trundle, Gragas, Varus, Ezreal, Bard","Ekko, Kindred, Viktor, Jhin, Braum",100,2016-06-17,100,
Splyce,Fnatic,1,"Olaf, Elise, Caitlyn, Nami, Viktor","Gnar, Nidalee, Azir, Ezreal, Karma",200,2016-06-17,200,
Fnatic,Splyce,2,"Gnar, Nidalee, Vladimir, Ezreal, Karma","Fizz, Rek'Sai, Swain, Caitlyn, Soraka",100,2016-06-17,200,
Team Vitality,H2k,1,"Fizz, Rek'Sai, Zilean, Ezreal, Karma","Gnar, Elise, Viktor, Ashe, Zyra",200,2016-06-17,200,
