team1_name,team2_name,map_number,champs1_names,champs2_names,win,match_day,first_blood,kills_5
CLG,Immortals,1,"Jax, Elise, Karma, Ezreal, Bard","Trundle, Nidalee, Twisted Fate, Lucian, Soraka",100,2016-06-24,200,
Immortals,CLG,2,"Lissandra, Rek'Sai, Vladimir, Ezreal, Nami","Swain, Kindred, Azir, Tristana, Alistar",100,2016-06-24,100,
CLG,Immortals,3,"Fiora, Gragas, Azir, Jhin, Bard","Lissandra, Rek'Sai, Viktor, Ezreal, Karma",200,2016-06-24,200,
Liquid,Apex,1,"Shen, Olaf, Viktor, Ashe, Karma","Swain, Rek'Sai, Zilean, Ezreal, Braum",100,2016-06-24,100,
Apex,Liquid,2,"Swain, Rek'Sai, Twisted Fate, Jhin, Karma","Trundle, Nidalee, LeBlanc, Nami, Ashe",200,2016-06-24,200,
Cloud9,EnvyUs,1,"Shen, Rek'Sai, Cassiopeia, Ashe, Nami","Swain, Graves, Karma, Lucian, Braum",100,2016-06-25,100,
EnvyUs,Cloud9,2,"Hecarim, Rek'Sai, Ezreal, Lucian, Braum","Irelia, Elise, Cassiopeia, Thresh, Ashe",200,2016-06-25,100,
TSM,Echo Fox,1,"Irelia, Azir, Rek'Sai, Lucian, Nami","Shen, Olaf, Cassiopeia, Jhin, Karma",200,2016-06-25,100,
Echo Fox,TSM,2,"Jax, Olaf, Cassiopeia, Sivir, Karma","Irelia, Azir, Rek'Sai, Lucian, Nami",200,2016-06-25,200,
TSM,Echo Fox,3,"Swain, Gragas, Azir, Lucian, Karma","Irelia, Rek'Sai, Cassiopeia, Jhin, Zyra",100,2016-06-25,200,
Immortals,Liquid,1,"Hecarim, Elise, Azir, Sivir, Soraka","Trundle, Nidalee, LeBlanc, Ashe, Braum",100,2016-06-25,200,
Liquid,Immortals,2,"Trundle, Olaf, Karma, Ashe, Bard","Rumble, Rek'Sai, Viktor, Ezreal, Zyra",200,2016-06-25,200,
NRG,Phoenix1,1,"Jax, Rek'Sai, Viktor, Lucian, Karma","Shen, Olaf, Ryze, Tristana, Braum",100,2016-06-25,100,
Phoenix1,NRG,2,"Trundle, Hecarim, Cassiopeia, Lucian, Bard","Illaoi, Rek'Sai, Ryze, Twitch, Braum",100,2016-06-25,200,
NRG,Phoenix1,3,"Trundle, Elise, Viktor, Jhin, Braum","Ryze, Hecarim, Cassiopeia, Lucian, Zyra",100,2016-06-25,100,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
