team1_name,team2_name,map_number,champs1_names,champs2_names,win,match_day,first_blood,kills_5
Cloud9,TSM,1,"Shen, Rek'Sai, Viktor, Ashe, Bard","Irelia, Nidalee, Zilean, Lucian, Braum",200,2016-06-17,200,
TSM,Cloud9,2,"Irelia, Nidalee, Viktor, Lucian, Braum","Trundle, Elise, Azir, Jhin, Bard",200,2016-06-17,200,
Cloud9,TSM,3,"Trundle, Rek'Sai, Viktor, Jhin, Bard","Swain, Gragas, Azir, Lucian, Karma",200,2016-06-17,200,
Liquid,Phoenix1,1,"Trundle, Olaf, Azir, Ashe, Bard","Shen, Hecarim, Karma, Lucian, Nami",100,2016-06-17,100,
Phoenix1,Liquid,2,"Shen, Kindred, Vladimir, Jhin, Karma","Trundle, Elise, Azir, Lucian, Braum",200,2016-06-17,200,
Immortals,EnvyUs,1,"Irelia, Nidalee, Viktor, Caitlyn, Nami","Ryze, Rek'Sai, Karma, Ezreal, Alistar",100,2016-06-18,100,
EnvyUs,Immortals,2,"Trundle, Gragas, Varus, Ezreal, Karma","Lissandra, Rek'Sai, Azir, Jinx, Braum",200,2016-06-18,100,
CLG,Echo Fox,1,"Jax, Kindred, Azir, Tristana, Alistar","Irelia, Rek'Sai, Brand, Jhin, Bard",100,2016-06-18,100,
Echo Fox,CLG,2,"Irelia, Elise, Karma, Jhin, Zyra","Jax, Kindred, Zilean, Tristana, Braum",200,2016-06-18,200,
Liquid,NRG,1,"Irelia, Olaf, Vladimir, Ashe, Bard","Jax, Rek'Sai, Anivia, Ezreal, Zyra",100,2016-06-18,200,
NRG,Liquid,2,"Jax, Nidalee, Anivia, Twitch, Braum","Irelia, Rek'Sai, Ryze, Sivir, Karma",100,2016-06-18,200,
Liquid,NRG,3,"Shen, Olaf, Vladimir, Sivir, Karma","Irelia, Nidalee, Anivia, Vayne, Braum",100,2016-06-18,200,
Phoenix1,Apex,1,"Shen, Kindred, Karma, Ezreal, Bard","Fiora, Evelynn, Twisted Fate, Caitlyn, Alistar",200,2016-06-18,200,
Apex,Phoenix1,2,"Irelia, Evelynn, Twisted Fate, Karma","Trundle, Elise, Lissandra, Lucian, Zyra",200,2016-06-18,200,
Phoenix1,Apex,3,"Trundle, Elise, Lissandra, Lucian, Zyra","Fiora, Gragas, Zilean, Caitlyn, Braum",200,2016-06-18,200,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
